Conventions,G,BADC-CSV,1,,,,,,,,,,,
01/01/2019 20:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,01/01/2019 19:53,0
01/01/2019 21:00,535672,RAIN,12,1,NCM,1171,1011,0,NA,10006,NA,NA,01/01/2019 20:56,0
01/01/2019 21:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,01/01/2019 20:56,0
01/01/2019 22:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,01/01/2019 21:55,0
01/01/2019 23:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,01/01/2019 22:52,0
02/01/2019 00:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,01/01/2019 23:54,0
02/01/2019 01:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 00:53,0
02/01/2019 02:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 01:53,0
02/01/2019 03:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 02:53,0
02/01/2019 04:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 03:55,0
02/01/2019 05:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 04:53,0
02/01/2019 06:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 05:53,0
02/01/2019 07:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 06:53,0
02/01/2019 08:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 07:52,0
02/01/2019 09:00,535672,RAIN,12,1,NCM,1171,1011,0,NA,6,NA,NA,02/01/2019 08:56,0
02/01/2019 09:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 08:56,0
02/01/2019 10:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 09:52,0
02/01/2019 11:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 10:52,0
02/01/2019 12:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 11:52,0
02/01/2019 13:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 12:55,0
02/01/2019 14:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 13:52,0
02/01/2019 15:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 14:59,0
02/01/2019 16:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 15:52,0
02/01/2019 17:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 16:52,0
02/01/2019 18:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 17:52,0
02/01/2019 19:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 18:52,0
02/01/2019 20:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 19:52,0
02/01/2019 21:00,535672,RAIN,12,1,NCM,1171,1011,0.2,NA,6,NA,NA,02/01/2019 20:53,0
02/01/2019 21:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 20:53,0
02/01/2019 22:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 21:52,0
02/01/2019 23:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 22:52,0
03/01/2019 00:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,02/01/2019 23:52,0
03/01/2019 01:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 00:52,0
03/01/2019 02:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 01:52,0
03/01/2019 03:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 02:52,0
03/01/2019 04:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 03:52,0
03/01/2019 05:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 04:52,0
03/01/2019 06:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 05:52,0
03/01/2019 07:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 06:52,0
03/01/2019 08:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 07:52,0
03/01/2019 09:00,535672,RAIN,12,1,NCM,1171,1011,0,NA,6,NA,NA,03/01/2019 08:56,0
03/01/2019 09:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 08:56,0
03/01/2019 10:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 09:52,0
03/01/2019 11:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 10:52,0
03/01/2019 12:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 11:52,0
03/01/2019 13:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 12:52,0
03/01/2019 14:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 13:53,0
03/01/2019 15:00,535672,RAIN,1,1,SREW,1171,1011,0,NA,1,NA,NA,03/01/2019 14:53,0
